Authors,Title,Year,Source title,Abstract,Author Keywords,Affiliations,Language of Original Document
"Kim M., Song J., Nishi K., Sowndhararajan K., Kim S.",Changes in the Electroencephalographic Activity in Response to Odors Produced by Organic Compounds,2020,Journal of Psychophysiology,"Volatile organic compounds are widely used to manufacture various products in addition to research purposes. They play an important role in the air quality of outdoor and indoor with a pleasant or unpleasant odor. It is well known that the odor of chemicals with different structures can affect brain functions differently. In general, organic compounds are mainly characterized by their functional groups. Acetic acid, acetaldehyde, acetone, and acetonitrile are widely used laboratory chemicals with the same methyl group, but different functional groups. Hence, the present study was aimed to investigate whether the exposure of these four chemicals (10%) exhibits the same electroencephalographic (EEG) activity or different. For this purpose, the EEG was recorded in 20 male healthy volunteers. The EEG was recorded from 32 electrodes located on the scalp, based on the International 10 20 system with modified combinatorial nomenclature. The results indicated that tested subjects are less sensitive to acetic acid odor than other three chemicals. The absolute theta activity significantly increased at Cp5 and F8 regions, and the relative mid-beta (RMB) significantly decreased at Fc1 region during the exposure of acetic acid. On the other hand, acetaldehyde, acetone, and acetonitrile produced EEG changes in many indices such as relative theta, relative gamma, relative high beta, relative beta, relative slow beta, the ratio of alpha to high beta, and spectral edge frequencies. However, there was no significant change in the absolute wave activity. Although acetaldehyde, acetone, and acetonitrile odors affected almost similar EEG indices, they exhibited changes in different brain regions. The variations in the EEG activity of these chemicals may be due to the activation of different olfactory receptors, odor characteristics, and structural arrangements. © 2019 Hogrefe Publishing.",acetaldehyde; acetic acid; acetone; acetonitrile; electroencephalography; functional group,"School of Natural Resources and Environmental Science, Kangwon National University, Chuncheon, 24341, South Korea; Department of Bioscience, Ehime University, Japan; Gangwon Perfume Alchemy Ltd. Co., Gangwon-do, South Korea; Department of Botany, Kongunadu Arts and Science College, Coimbatore, Tamil Nadu  641029, India",English
"Singh S., Kumar S., Mahal P., Vishwakarma A., Deep R.",Self-reported medication adherence and its correlates in a lithium-maintained cohort with bipolar disorder at a tertiary care centre in India,2019,Asian Journal of Psychiatry,"Background: Lithium remains a cornerstone of prophylaxis in bipolar disorder (BD), but adherence continues to be a major clinical challenge and merits a closer attention. There is scant literature available in Indian as well as Asian context. Methods: This study was conducted at Department of Psychiatry, AIIMS, New Delhi with an aim to assess the self-reported medication adherence and its correlates among a naturalistic, lithium-maintained cohort (n = 76) with bipolar disorder. Subjects were included if they were on lithium therapy ≥1 year, met DSM-5 diagnosis of bipolar disorder and were in clinical remission (≥1 month). Besides sociodemographic and clinical performa, participants were assessed on medication adherence rating scale (MARS), lithium questionnaire for knowledge and lithium attitude questionnaire (LAQ). Results: Mean age was 35.7 ± 10.6 years (males: 59.2%); median duration of illness and lithium therapy was 84 months and 24.5 months, respectively. Mean MARS score was 6.95 ± 2.81. Regression analysis (with MARS total as dependent variable) found LAQ score to be the single most significant predictor variable (β=−0.681, p < 0.0001), explaining over 75% of the total variance. In regression model with MARS factor-1 score as dependent variable, the 'LAQ score' (β=−0.601, p < 0.0001) and 'being accompanied by family during psychiatric visits (always/mostly) in the past year' (β = 0.193, p = 0.010) emerged as significant predictor variables. Conclusion: Adherence in lithium-maintained treatment-seeking cohort of patients with BD remains far from ideal as observed in this naturalistic setting. Lithium-related attitudes and being accompanied by family during psychiatric visits were found to be significant predictors for adherence. © 2019 Elsevier B.V.",Adherence; Attitudes; Bipolar disorder; Family; India; Lithium,"Department of Psychiatry, All India Institute of Medical Sciences, Ansari Nagar, New Delhi, 110029, India",English
Kumari A.,Elucidation of relationship between clothing silhouette and motifs with Indian Mughal architecture,2019,Fashion and Textiles,"Fashion adopts numerous creative ideas and the designers source them. Architecture is also not left out from the eye of designers. Fashion designers used to take their inspiration from architectural buildings normally to create new clothing silhouettes. But what is important to understand here is the nature of relationship between these two disciplines which made them to do so. Keeping this fact in mind, researcher tried to find the connection between ‘Fashion’ and ‘Architecture,’ which can serve as fashion element for designers. Clothing Silhouette and motif were the two criteria on which the relationship was investigated. Indian Mughal architectural monuments were selected, since Mughals were considered as the most influential rulers on Indian sub-continent, having unique heritage in terms of religion, arts, music and other ornamental techniques which are in vogue even in the modern era. The outcomes show that similar kind of motifs was used to ornament both textiles as well as walls of architectural monuments at same time frame. Clothing silhouettes of that time were also inspired from the outer shape of the monument. Further, while investigating, a functional aspect—one of the common causes of relationship in terms of comfort in both the disciplines was also found. © 2019, The Author(s).",Clothing comfort; Dome structure; Fashion and architecture; Floral motifs; Mughal costumes; Mughal monuments; Silhouettes,"Assistant Professor, Amity School of Fashion Design & Technology, Amity University Madhya Pradesh, Maharajpura Dang, Gwalior, MP  474005, India",English
"Jayaprakash A., KeziSelvaVijila C.",Feature selection using Ant Colony Optimization (ACO) and Road Sign Detection and Recognition (RSDR) system,2019,Cognitive Systems Research,"Road Sign Detection and Recognition (RSDR) is aimed to enable drivers maintain basic functionality with the aim of identifying and notifying driver through the existing restrictions so that the process is a success on the present widened road. Examples for RSDR include ‘traffic light ahead’ or ‘pedestrian crossing’ signs. An innovative RSDR system has been introduced which comprises of pre-processing, edge detection, feature extraction, features selection and Ensemble Fuzzy Support Vector Machine (EFSVM) classifier. Feature selection is carried out successfully by deployment of Ant Colony Optimization (ACO) algorithm to determine most prominent and definitive features. These features are then fed into the ensemble SVM to enable both road side traffic detection as well as recognition. Suggested system's performance is analyzed and evaluated with respect to road signs having a capable recognition rate. © 2019 Elsevier B.V.","Ant Colony Optimization (ACO); Feature selection, classification and Ensemble Fuzzy Support Vector Machine (EFSVM); Road Sign Detection and Recognition (RSDR)","Department of Information Technology, Christian College of Engineering and Technology, Oddanchatram, 6246192, India; Christian College of Engineering and Technology, Oddanchatram, 6246192, India",English
"Arivazhagan S., Shebiah R.N., Harini R., Swetha S.",Human action recognition from RGB-D data using complete local binary pattern,2019,Cognitive Systems Research,"Human action recognition is an active research domain in Computer Vision and Pattern Recognition due to the challenges such as inter and intra class variation, background clutter, partial occlusion and changes in scale, viewpoint, lighting, appearance etc. Human action recognition aims at determining the activities of a person or a group of persons, as well as on knowledge about the context within which the observed activities take place. As RGB cameras responds easily to illumination changes and surrounding clutters, the worthwhile RGB Depth (RGB-D) camera sensors (e.g. Kinect) is used to improve the action recognition. This paper aims at classifying Human Actions by integrating salient motion features from both RGB and Depth Camera. The methodology includes Salient Information Map generation from both RGB and depth action sequences signposting the motion significant region of the corresponding action sequence. From the Salient Information Map, Sign, Magnitude and Center descriptors representing Complete Local Binary Pattern was extracted. Then the fusion of features from depth and RGB is carried out by Canonical Correlation Analysis accompanied by dimensionality reduction. Multiclass SVM classifier is used for classifying the features in to various action categories. The experimental analysis of the proposed algorithm was carried with MSR Daily Activity 3D Dataset and UTD-MHAD Action Dataset and the recognition rate of 98.75% and 84.12% was obtained. © 2019 Elsevier B.V.",Action recognition; Complete local binary pattern; Saliency map; SVM classifier,"Centre for Image Processing and Pattern Recognition, Department of Electronics and Communication Engineering, Mepco Schlenk Engineering College, Sivakasi, Tamil Nadu  626005, India",English
"Mallick A.K., Mishra A.K.",Interest rates forecasting and stress testing in India: a PCA-ARIMA approach,2019,Palgrave Communications,"In the Basel III era, measuring, managing, mitigating and forecasting interest rate risk has become significant. In the first study of its kind, this paper develops a principal component analysis-based forecasting of interest rates of different maturities and stress testing approach in a univariate auto-regressive integrated moving average (ARIMA) framework in the context of India. Debating the existence of multiple representations of interest rates in the Indian market, the study broke down all the short-term, as well as long-term interest rates to derive the optimal principal component of unique interest rates. These unique interest rates are further exercised to forecast the future interest rates through the ARIMA model. The rolling average method was applied to the recently created Indian volatility index (VIX) to place the stress points. The model performance was examined over this stress point of building multiple scenario analysis. The study found that ARIMA (2-1-1) forecasting model of interest rates produced a better forecast result, both in the case of in-sample and out-of-sample performances as well as in stress periods. From the forecasting results, the study found that the proportionate gain in yield is higher as the maturity increases. By examining the stress period on the basis of eight quarters (2007: Q4 of 2009: Q3) rolling average on Indian volatility Indices, the survey concluded that the Indian economy will reach a stable situation signalled by less volatile interest rates post the second quarter of 2018. © 2019, The Author(s).",,"School of Economics, University of Hyderabad, Prof. C.R. Rao Road, Gachibowli, Hyderabad, Telangana, India",English
"Shivankar V.S., Mukhopadhyay S.",Some studies on 100% banana parallel laid and 60:40% banana: polypropylene cross laid non-woven fabrics,2019,Fashion and Textiles,"Global trend towards sustainable developments have brought natural, renewable biodegradable raw material into the focus, but due to lack of technical knowhow, only a small fraction of these non-conventional fibres are harvested and utilized. In this study we have developed parallel laid 100% banana nonwoven fabric and cross laid banana/polypropylene (60:40) nonwoven fabric. Three varieties of banana fibers namely Mahalaxmi, Shrimanti and Graint Naine were used for needle punched non-woven fabric preparations. Analysis of physical properties is carried out in machine direction and cross direction. This paper concludes that cross laid nonwoven fabric show superior tensile properties as compared to parallel laid nonwoven fabric. Shrimanti fibre nonwoven fabric is stronger than Graint Naine and Mahalaxmi fibre nonwoven fabric for both the parallel laid and cross laid structure. Parallel laid Mahalaxmi banana nonwoven fabric and cross laid Graint Naine banana nonwoven fabric gives higher elongation% for machine and cross direction. Increased air permeability of cross laid (60:40) banana/polypropylene non-woven fabric observed than parallel laid 100% banana non-woven fabric. Parallel laid Graint Naine non-woven fabric showed higher air permeability than Shrimanti and Mahalaxmi parallel laid non-woven fabric. Bursting strength of parallel laid nonwoven fabric is higher, both in the machine as well as in cross direction than cross laid nonwoven fabric for three varieties of banana fibres. Shrimanti banana non-woven fabric showed higher bursting strength for parallel laid and cross laid structure than Graint Naine and Mahalaxmi parallel laid and cross laid structure. © 2019, The Author(s).",Cross laid; Graint Naine; Mahalaxmi; Parallel laid; Shrimanti,"Assistant Professor, Centre for Textile Functions, MPSTME, NMIMS, Shirpur Campus, Shirpur, India; Associate Professor, Indian Institute of Technology (IIT), Hauz Khas, Delhi, India",English
"Hannikainen I.R., Machery E., Rose D., Stich S., Olivola C.Y., Sousa P., Cova F., Buchtel E.E., Alai M., Angelucci A., Berniûnas R., Chatterjee A., Cheon H., Cho I.-R., Cohnitz D., Dranseika V., Eraña Lagos Á., Ghadakpour L., Grinberg M., Hashimoto T., Horowitz A., Hristova E., Jraissati Y., Kadreva V., Karasawa K., Kim H., Kim Y., Lee M., Mauro C., Mizumoto M., Moruzzi S., Ornelas J., Osimani B., Romero C., Rosas López A., Sangoi M., Sereni A., Songhorian S., Struchiner N., Tripodi V., Usui N., Vázquez del Mercado A., Vosgerichian H.A., Zhang X., Zhu J.",For Whom Does Determinism Undermine Moral Responsibility? Surveying the Conditions for Free Will Across Cultures,2019,Frontiers in Psychology,"Philosophers have long debated whether, if determinism is true, we should hold people morally responsible for their actions since in a deterministic universe, people are arguably not the ultimate source of their actions nor could they have done otherwise if initial conditions and the laws of nature are held fixed. To reveal how non-philosophers ordinarily reason about the conditions for free will, we conducted a cross-cultural and cross-linguistic survey (N = 5,268) spanning twenty countries and sixteen languages. Overall, participants tended to ascribe moral responsibility whether the perpetrator lacked sourcehood or alternate possibilities. However, for American, European, and Middle Eastern participants, being the ultimate source of one’s actions promoted perceptions of free will and control as well as ascriptions of blame and punishment. By contrast, being the source of one’s actions was not particularly salient to Asian participants. Finally, across cultures, participants exhibiting greater cognitive reflection were more likely to view free will as incompatible with causal determinism. We discuss these findings in light of documented cultural differences in the tendency toward dispositional versus situational attributions. © Copyright © 2019 Hannikainen, Machery, Rose, Stich, Olivola, Sousa, Cova, Buchtel, Alai, Angelucci, Berniûnas, Chatterjee, Cheon, Cho, Cohnitz, Dranseika, Eraña Lagos, Ghadakpour, Grinberg, Hashimoto, Horowitz, Hristova, Jraissati, Kadreva, Karasawa, Kim, Kim, Lee, Mauro, Mizumoto, Moruzzi, Ornelas, Osimani, Romero, Rosas López, Sangoi, Sereni, Songhorian, Struchiner, Tripodi, Usui, Vázquez del Mercado, Vosgerichian, Zhang and Zhu.",alternate possibilities; cognitive style; compatibilism; dispositionism; free will; situationism; sourcehood,"Department of Law, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of History and Philosophy of Science, University of Pittsburgh, Pittsburgh, PA, United States; Department of Philosophy, Florida State University, Tallahassee, FL, United States; Department of Philosophy, Rutgers University, New Brunswick, NJ, United States; Tepper School of Business, Carnegie Mellon University, Pittsburgh, PA, United States; Institute of Cognition and Culture, Queen’s University, Belfast, United Kingdom; Department of Philosophy, University of Geneva, Geneva, Switzerland; Department of Psychology, The Education University of Hong Kong, Tai Po, Hong Kong; Department of Pure and Applied Sciences, University of Urbino Carlo Bo, Urbino, Italy; Institute of Psychology, Vilnius University, Vilnius, Lithuania; School of Cognitive Science, Jadavpur University, Kolkata, India; Department of Philosophy, Seoul National University, Seoul, South Korea; Department of Philosophy and Religious Studies, Utrecht University, Utrecht, Netherlands; Institute of Philosophy, Vilnius University, Vilnius, Lithuania; Instituto de Investigaciones Filosóficas-UNAM, Mexico City, Mexico; Independent Researcher, Tehran, Iran; Department of Cognitive Science and Psychology, New Bulgarian University, Sofia, Bulgaria; Department of Social Psychology, University of Tokyo, Tokyo, Japan; Department of History, Philosophy and Judaic Studies, Open University of Israel, Ra’anana, Israel; Department of Philosophy, American University of Beirut, Beirut, Lebanon; Department of Psychology, Korea University, Seoul, South Korea; Sloan School of Management, Massachusetts Institute of Technology, Cambridge, MA, United States; CLOO Behavioral Insights Unit, Porto, Portugal; School of Knowledge Science, Japan Advanced Institute of Science and Technology, Ishikawa, Japan; Department of Philosophy and Communication Studies, University of Bologna, Bologna, Italy; Faculty of Social Sciences and Humanities, Universidad Autónoma de San Luis Potosí, San Luis Potosí, Mexico; Munich Center for Mathematical Philosophy, Ludwig Maximilians Universität, Munich, Germany; Department of Philosophy, National University of Colombia, Bogotá, Colombia; Faculty of Philosophy, Scuola Universitaria Superiore IUSS, Pavia, Italy; Faculty of Philosophy, Vita-Salute San Raffaele University, Milan, Italy; Department of Philosophy and Educational Sciences, University of Turin, Turin, Italy; Department of Humanities, Mie University, Tsu, Japan; School of Humanities, Southeast University, Nanjing, China; School of Information Management, Sun Yat-sen University, Guangzhou, China",English
"Meindl P., Iyer R., Graham J.",Distributive Justice Beliefs are Guided by Whether People Think the Ultimate Goal of Society is Well-Being or Power,2019,Basic and Applied Social Psychology,"Disagreements about how resources should be distributed are often heated, perhaps because people suspect that distributive justice beliefs that clash with their own derive from nefarious motives. In this paper, we consider a less pessimistic explanation for diversity in distributive justice beliefs: such beliefs are influenced by what one considers the primary utility or value of their society in the first place. In five studies (N = 21,515), we demonstrate the existence of two separable types of distributive justice beliefs, one (Equality/need) influenced by a focus on societal well-being, and the other (Equity/merit) by a focus on societal power. These findings lend insight into how growing tensions rooted in resource allocation might be defuzed. © 2019, © 2019 Taylor & Francis Group, LLC.",,"Calvin College, India; Facebook Inc., United States; University of Utah, United States",English
"Bhattacharyya A., Belk R.W.",Consumer resilience and subservience in technology consumption by the poor,2019,Consumption Markets and Culture,"Consumer technology theorists have explored technology consumption primarily through a de-linked, individualistic lens. We augment existing theories on technology consumption by widening the scope of the theorizing lens to include the role of class-based societal domination on consumption by the oppressed. We show that the poor respond to oppression by practices that go beyond non-compliance and subterfuge. We highlight the overlooked phenomenon of Consumer Resilience, and unveil the practices of Subservience in technology consumption by the poor in India. These are consumption practices that help the dominated classes appease those dominating them, at the expense of their own dignity and well-being. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",coping; Marketplace exclusion; power; resilience; subservience; technology,"Department of Marketing, Indian Institute of Management, Udaipur, India; Kraft Foods Canada Chair in Marketing, Schulich School of Business, York University, North York, Canada",English
"Mane K.G., Nagore P.B., Pujari S.R.",Synthesis of Novel Blue and Green Light Emitting 4-Nitrophenol Luminophors for Optoelectronics,2019,Journal of Fluorescence,"The number of anthracene (AN) and anthracene-tetracene (AN-TN) doped 4-nitrophenol (4-NP) luminophors (AN/4-NP and AN-TN/4-NP) were prepared at different proportion by conventional technique called solid state reaction. Excitation energy transfer was observed by fluorescence spectroscopy and cyclic voltammetry. 4-NP acts as an outstanding light emitting matrix. The effect of the donor emission was perceived by changing the dopant concentration; this showed that AN/4-NP and TN-AN/4-NP exhibit fluorescence emission ranging from blue to green i.e. in the range from 400 to 525 nm and 535–550 nm, respectively. Structural properties and thermal stability was studied by XRD, SEM and TGA-DSC techniques. The study reveals that the prepared materials show excellent properties which can meet the demands of optoelectronic devices as well as for light emitting devices. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Blue and green emission; Doped materials; Excitation energy transfer; Light emitting devices,"Doshi Vakil Arts & G.C.U.B. Sci. & Comm. College, Goregaon, Raigad  402103, India; D.B.F.Dayanand Arts and Science College, Solapur, India",English
"Quraishi R., Varshney M., Singh A., Singh D., Kumar M., Rao R., Jain R., Ambekar A.",Use of filter paper to measure alcohol biomarkers among opioid-dependent patients on agonist maintenance treatment: A community-based study,2019,Indian Journal of Psychological Medicine,"Background: Harmful Alcohol use is frequent among opioid dependents patients undergoing agonist maintenance treatment. The objective assessment of harmful alcohol use can be done using laboratory measures of serum biomarkers. For community-based patients, there is often a requirement of an alternative method due to lack of onsite laboratory services. The aim of the study was to examine filter paper as a matrix to measure serum biomarkers of harmful alcohol use. Methods: The initial phase involved standardization of the filter-paper-based assay. Conditions were optimised for extraction and estimation of alcohol biomarkers (Aspartate Aminotransferase; AST, Alanine Aminotransferase; ALT, Gamma Glutamyl transferase; GGT and Carbohydrate Deficient Transferrin; CDT) from the filter paper. For clinical validation, serum samples were collected from community clinics. Biomarker levels obtained from both the methods were correlated using linear regression analysis. Limits of agreement between the two methods was estimated using the Intraclass Correlation Coefficient (ICC). Results: The extraction of enzymes (AST, ALT and GGT) from filter paper was carried out using the substrate buffer available with the reagent kit (Randox, UK). CDT was readily extracted from filter paper using deionised water. Serum biomarker levels measured from samples collected from community clinics correlated well with filter paper extracted levels (ICC 0.97-0.99). More than 90% of alcohol biomarker levels were recovered from the filter paper matrix using this method. Conclusion: Filter paper has the potential to be used as a matrix to objectively measure alcohol biomarkers among opioid-dependent patients from community settings lacking onsite laboratory facilities. © 2019 Indian Psychiatric Society - South Zonal Branch.",Agonist maintenance; Alcohol biomarkers; community clinics; filter paper; opioid dependents,"National Drug-Dependence Treatment Centre, Department of Psychiatry, All India Institute of Medical Sciences, New Delhi, 110 029, India",English
"Salvi S.S., Pati S., Chaudhari P.R., Tiwari P., Banerjee T., Vaidya V.A.",Acute Chemogenetic Activation of CamKIIα-Positive Forebrain Excitatory Neurons Regulates Anxiety-Like Behaviour in Mice,2019,Frontiers in Behavioral Neuroscience,"Anxiety disorders are amongst the most prevalent mental health disorders. Several lines of evidence have implicated cortical regions such as the medial prefrontal cortex, orbitofrontal cortex, and insular cortex along with the hippocampus in the top–down modulation of anxiety-like behaviour in animal models. Both rodent models of anxiety, as well as treatment with anxiolytic drugs, result in the concomitant activation of multiple forebrain regions. Here, we sought to examine the effects of chemogenetic activation or inhibition of forebrain principal neurons on anxiety and despair-like behaviour. We acutely activated or inhibited Ca2+/calmodulin-dependent protein kinase II α (CamKIIα)-positive forebrain excitatory neurons using the hM3Dq or the hM4Di Designer Receptor Exclusively Activated by Designer Drug (DREADD) respectively. Circuit activation was confirmed via an increase in expression of the immediate early gene, c-Fos, within both the hippocampus and the neocortex. We then examined the influence of DREADD-mediated activation of forebrain excitatory neurons on behavioural tests for anxiety and despair-like behaviour. Our results indicate that acute hM3Dq DREADD activation of forebrain excitatory neurons resulted in a significant decline in anxiety-like behaviour on the open field, light–dark avoidance, and the elevated plus maze test. In contrast, hM3Dq DREADD activation of forebrain excitatory neurons did not alter despair-like behaviour on either the tail suspension or forced swim tests. Acute hM4Di DREADD inhibition of CamKIIα-positive forebrain excitatory neurons did not modify either anxiety or despair-like behaviour. Taken together, our results demonstrate that chemogenetic activation of excitatory neurons in the forebrain decreases anxiety-like behaviour in mice. © Copyright © 2019 Salvi, Pati, Chaudhari, Tiwari, Banerjee and Vaidya.",anxiety; clozapine-N-oxide; DREADD; elevated plus maze; hM3Dq; hM4Di; light–dark avoidance test; open field test,"Department of Biological Sciences, Tata Institute of Fundamental Research, Mumbai, India",English
"Zhang S.X., Dank M., Vincent K., Narayanan P., Bharadwaj S., Balasubramaniam S.M.",Victims without a Voice: Measuring Worst Forms of Child Labor in the Indian State of Bihar,2019,Victims and Offenders,"This study represents one of the most methodologically rigorous attempts at estimating the prevalence, in the Indian state of Bihar, of the worst forms of child labor, defined broadly as coerced labor detrimental physically or psychologically to the development of a child. Based on samples collected through a combination of spatial random sampling and link-tracing strategies, and applying population-based calibrations, we find that the worst the forms of child labor are widespread and pervasive among child workers in urban Bihar, irrespective of whether we apply the Indian legal framework or the international convention. Such pervasive exploitation and abuse of child labor in one Indian state suggest the need to develop solutions that must address the fundamental social forces that compel children to work in slave-like conditions, such as basic livable wages for adult laborers and greater enforcement of existing child protection laws to ensure proper scrutiny of places where children are employed. It will take a long-term commitment from the Indian government as well as the civil society to tackle such a large-scale social problem, and interventions aiming to bring about significant social changes, such as improved enforcement of existing child labor law, public education and awareness campaign, financial as well as legal punishment of egregious employers. © 2019, © 2019 Taylor & Francis Group, LLC.",child labor; Human trafficking; labor trafficking; link-tracing sampling; modern slavery; prevalence estimation,"School of Criminology and Justice Studies, University of Massachusetts Lowell, Lowell, MA, United States; Office of the Advancement of Research, John Jay College of Criminal Justice, New York, NY, United States; Kyle Vincent, Independent Consultant, Ottawa, Canada; Research Division, Praxis:Institute for Participatory Practices, New Delhi, India",English
"Kashyap H., Reddy P., Mandadi S., Narayanaswamy J.C., Sudhir P.M., Reddy Y.C.J.",Cognitive training for neurocognitive and functional impairments in obsessive compulsive disorder: A case report,2019,Journal of Obsessive-Compulsive and Related Disorders,"Obsessive-compulsive disorder (OCD) is associated with impairments in neurocognition, especially on executive functioning and visuospatial memory, which tend to persist despite clinical improvement. Impairments in social and occupational functioning are likely related to neurocognition but are rarely targeted by existing treatments for OCD. Previous studies of cognitive training in OCD have been limited by narrow transfer of effects. We report a case of an individual referred for cognitive training in view of persisting cognitive and functional difficulties despite clinical improvement. The intervention consisted of therapist-guided sessions along with homework practice. A smartphone application was developed for cognitive stimulation, and used with other techniques for cognitive stimulation, strategy use, and generalization to achieve transfer of effects. Following 12 weeks of intervention, changes were observed on executive functions including verbal fluency and planning, and smaller changes across measures of attention and working memory. Notably, there was simultaneous reduction on severity of anxiety, depression, and obsessive-compulsive symptoms. Further, there was improvement in subjectively perceived cognitive difficulties as well as work, family and social functioning. The cognitive training intervention has promising implications for individuals with OCD with persisting cognitive and functional impairments despite clinical improvement. © 2019 Elsevier Inc.",Cognitive remediation; Cognitive training; Functional impairment; Obsessive compulsive disorder,"Department of Clinical Psychology, National Institute of Mental Health and Neurosciences, India; Gutermann Technologies, India; Cloud Based Solutions, India; Obsessive Compulsive Disorder Clinic, Department of Psychiatry, National Institute of Mental Health and Neurosciences, India",English
"Bhat N.A., Roopesh B.N., Bhaskarapillai B., Benegal V.","Factor structure validation, psychometric evaluation and measurement invariance testing of the Brief Sensation Seeking Scale-Chinese (BSSS-C) in Indian adolescents",2019,Asian Journal of Psychiatry,"Background: Self-report measures of sensation seeking though commonly used in research have not undergone factor structure or psychometric validation in Indian adolescents. The Brief Sensation Seeking Scale - Chinese (BSSS-C; Chen et al., 2013) is a less culture specific tool with excellent psychometric properties and presents a suitable option for use with Indian adolescents. Aim: The present study aims to validate the factor structure, evaluate the psychometric properties, and examine the gender invariance of the BSSS-C in Indian adolescents. Methods: A community sample of adolescent, n = 2079, with mean age 17 years (SD = 1.71) completed the BSSS-C, the BIS/BAS, and the Adolescent Risky Behaviour scales. Results: The four factor structure of the BSSS-C exhibited good to excellent model fit, acceptable internal consistency reliability (α = 0.77) and, adequate construct as well as concurrent validity in Indian adolescents. Invariance testing revealed that the factor configuration and factor loadings of the BSSS-C were equivalent across the gender. Three of the four BSSS-C latent factors were amenable for mean comparisons across the gender. Conclusion: BSSS-C is a reliable measure of the four dimensional model of sensation seeking in Indian adolescents. The gender differences in the BSSS-C factors are attributable to real differences in sensation seeking construct between male and female adolescents. © 2019 Elsevier B.V.",Adolescence; BSSS-C; Confirmatory factor analysis; Measurement invariance; Sensation seeking,"Department of Clinical Psychology, National Institute of Mental Health and Neurosciences (NIMHANS), Bangalore, 560029, India; Department of Biostatistics, National Institute of Mental Health and Neurosciences (NIMHANS), Bangalore, 560029, India; Department of Psychiatry, National Institute of Mental Health and Neurosciences (NIMHANS), Bangalore, 560029, India",English
"Das S., Mishra A., Cyr D.",Opportunity gone in a flash: Measurement of e-commerce service failure and justice with recovery as a source of e-loyalty,2019,Decision Support Systems,"Online flash sales (OFS) are an opportunity for customers to purchase goods with large discounts for a limited period, along with the increased risk of service failures due to heavy demand for such offers. The current work examines the impact of OFS e-commerce service failures, as well as that of perceived customer opportunism (PCO), on perceived justice with service recovery (PJWSR), post-recovery satisfaction (SSR), post-recovery perceived switching cost (PSC) and e-loyalty. By using a mixed-method approach, the current work develops a novel framework for OFS e-commerce service failure. Failure is conceptualized as functional, information, and system failures, with unique sub-dimensions/measurement items underlying each. Our findings suggest that functional and information failures have a negative effect on PJWSR, PCO has a positive effect on PJWSR, PJWSR has a significant effect on SSR/PSC and SSR positively affects e-loyalty, with no moderation of PSC on this relationship. This work contributes to the e-commerce service failure and customer opportunism literature by proposing a new contextual scale for measuring OFS e-commerce service failures and the impact of recovery-induced justice on a customer's loyalty. Leveraging this work, e-tailers need to make judicious decisions to avoid specific failures during OFS by designing robust e-commerce systems and, in the case of a failure, to have a responsive recovery protocol to enhance PJWSR and subsequent e-loyalty. © 2019 Elsevier B.V.",Customer opportunism; E-loyalty; Functional failure; Information failure; Perceived justice; System failure,"Vinod Gupta School of Management, Indian Institute of Technology, Kharagpur, WB, India; Indian Institute of Management, Prabandh Shikhar, Rau-Pithampur Road, Indore, MP, India; Beedie School of Business, Simon Fraser University, Vancouver, Canada",English
"Saini S., Sahula V.",Language Learnability Analysis of Hindi: A Comparison with Ideal and Constrained Learning Approaches,2019,Journal of Psycholinguistic Research,"Native language acquisition is one of the initial processes undertaken by the human brain in the infant stage of life. The linguist community has always been interested in finding the method, which is adopted by the human brain to acquire the native language. Word segmentation in one of the most important tasks in acquiring the language. Statistical learning has been employed to be one of the earliest strategies that mimic the way an infant can adapt to segment a lot of different words. It is desired that the language learnability theories be universal in nature and work on most, if not all the languages. In the present work, we have analyzed the learnability of Hindi, the most popular Indian language, using ideal (universal) and constrained Bayesian learner models. We have analyzed the learnability of the language using unigram and bigram approaches by considering word, syllables, and phonemes as the smallest unit of the language. We demonstrate that Bayesian inference is indeed a viable cross-linguistic strategy and works well for Hindi also. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Bayesian learners; Hindi Language; Language acquisition; Language learnability,"Department of Electronics and Communication Engineering, The LNM Institute of Information Technology, Jaipur, 302031, India; Department of Electronics and Communication Engineering, Malaviya National Institute of Technology, Jaipur, 302017, India",English
